Roger Federer:1981.58
Novak Djokovic:1987.33
Rafael Nadal:1986.42
Jimmy Connors:1952.67
Andre Agassi:1970.25
Ivan Lendl:1960.17
Carlos Alcaraz:2003.33
Pete Sampras:1971.58
Andy Murray:1987.33
John McEnroe:1959.08
Boris Becker:1967.83
Andy Roddick:1982.58
Juan Martin del Potro:1988.67
Lleyton Hewitt:1981.08
Bjorn Borg:1956.42
Stefan Edberg:1966.0
Kent Carlsson:1968.0
Jannik Sinner:2001.58
David Ferrer:1982.25
Michael Chang:1972.08
David Nalbandian:1982.0
Robin Soderling:1984.58
Mats Wilander:1964.58
Jo-Wilfried Tsonga:1985.25
Tomas Berdych:1985.67
Tommy Haas:1978.25
Jim Courier:1970.58
Guillermo Coria:1982.0
Yevgeny Kafelnikov:1974.08
Stan Wawrinka:1985.17
Jakub Mensik:2005.67
Michael Stich:1968.75
Alexander Zverev:1997.25
Juan Carlos Ferrero:1980.08
Goran Ivanisevic:1971.67
Carlos Moya:1976.58
Fernando Gonzalez:1980.5
Marcelo Rios:1975.92
Todd Martin:1970.5
Tim Henman:1974.67
Richard Krajicek:1971.92
Kei Nishikori:1989.92
Gael Monfils:1986.67
Marat Safin:1980.0
Thomas Muster:1967.75
Patrick Rafter:1972.92
Gustavo Kuerten:1976.67
Milos Raonic:1990.92
Daniil Medvedev:1996.08
Marin Cilic:1988.67
Mark Philippoussis:1976.83
Mario Ancic:1984.17
Richard Gasquet:1986.42
Stefanos Tsitsipas:1998.58
Radek Stepanek:1978.83
Andrei Medvedev:1974.58
Guillermo Vilas:1952.58
John Isner:1985.25
Thomas Enqvist:1974.17
Tommy Robredo:1982.33
Ivan Ljubicic:1979.17
Greg Rusedski:1973.67
Alex Corretja:1974.25
Wayne Ferreira:1971.67
Petr Korda:1968.0
Ivo Karlovic:1979.08
Nikolay Davydenko:1981.42
Nicolas Kiefer:1977.5
Sergi Bruguera:1971.0
Nick Kyrgios:1995.25
Magnus Gustafsson:1967.0
Gene Mayer:1956.33
Mardy Fish:1981.92
James Blake:1979.92
Sebastien Grosjean:1978.33
Guillermo Perez Roldan:1969.75
Albert Costa:1975.42
Yannick Noah:1960.33
Miloslav Mecir:1964.33
Fernando Verdasco:1983.83
Grigor Dimitrov:1991.33
Nicolas Escude:1976.25
Roberto Bautista Agut:1988.25
Gaston Gaudio:1978.92
Nicolas Almagro:1985.58
Fabrice Santoro:1972.92
Andrey Rublev:1997.75
Magnus Larsson:1970.17
Feliciano Lopez:1981.67
Mikhail Youzhny:1982.42
Kevin Anderson:1986.33
Philipp Kohlschreiber:1983.75
Aaron Krickstein:1967.58
Jiri Novak:1975.17
Thomas Johansson:1975.17
Holger Rune:2003.25
Felix Mantilla:1974.67
Jonas Bjorkman:1972.17
Magnus Norman:1976.33
Gilles Simon:1984.92
Guillermo Canas:1977.83
Cedric Pioline:1969.42
Christophe Van Garsse:1974.42
Pat Cash:1965.33
Dominic Thiem:1993.67
Brad Gilbert:1961.58
Joachim Johansson:1982.5
Karol Kucera:1974.17
Marcos Baghdatis:1985.42
Juan Ignacio Chela:1979.58
Xavier Malisse:1980.5
Alberto Berasategui:1973.42
Juan Monaco:1984.17
Jay Berger:1966.83
Felix Auger Aliassime:2000.58
Younes El Aynaoui:1971.67
Marc Rosset:1970.83
Dominik Hrbaty:1978.0
Matteo Berrettini:1996.25
Agustin Calleri:1976.67
Andres Gomez:1960.08
Jose Luis Clerc:1958.58
Casper Ruud:1998.92
Alex De Minaur:1999.08
Jarkko Nieminen:1981.5
Vitas Gerulaitis:1954.5
Stan Smith:1946.92
Guy Forget:1965.0
Arnaud Clement:1977.92
Sjeng Schalken:1976.67
Andrei Pavel:1974.0
Francisco Clavet:1968.75
Kevin Curren:1958.17
Sandy Mayer:1952.25
Jurgen Melzer:1981.33
Taylor Dent:1981.25
Malivai Washington:1969.42
Paradorn Srichaphan:1979.42
Joakim Nystrom:1963.08
Gilles Muller:1983.33
Rainer Schuettler:1976.25
Martin Jaite:1964.75
Anders Jarryd:1961.5
Sam Querrey:1987.75
Mariano Puerta:1978.67
Wayne Arthurs:1971.17
Henri Leconte:1963.5
Jose Acasuso:1982.75
Emilio Sanchez:1965.33
Brian Gottfried:1952.0
David Wheaton:1969.42
Richey Reneberg:1965.75
Julien Benneteau:1981.92
David Goffin:1990.92
Jan Michael Gambill:1977.42
Nicolas Lapentti:1976.58
Tim Mayotte:1960.58
Andrei Chesnokov:1966.08
Janko Tipsarevic:1984.42
Marc Gicquel:1977.17
Max Mirnyi:1977.5
Borna Coric:1996.83
Andreas Vinciguerra:1981.08
Eliot Teltscher:1959.17
Jason Stoltenberg:1970.25
Mark Woodforde:1965.67
Jakob Hlasek:1964.83
Fabio Fognini:1987.33
Dmitry Tursunov:1982.92
Bob Lutz:1947.58
Jose Higueras:1953.17
Arnaud Boetsch:1969.25
Hicham Arazi:1973.75
Viktor Troicki:1986.08
Igor Andreev:1983.5
Paul Haarhuis:1966.08
Bohdan Ulihrach:1975.08
Mariano Zabaleta:1978.08
Carlos Costa:1968.25
Nicolas Massu:1979.75
Vincent Spadea:1974.5
Paul Henri Mathieu:1982.0
Karen Khachanov:1996.33
Denis Shapovalov:1999.25
Jack Draper:2001.92
Florian Mayer:1983.75
Sebastian Korda:2000.5
Roscoe Tanner:1951.75
Arthur Fils:2004.42
Eddie Dibbs:1951.08
Michael Llodra:1980.33
Taylor Fritz:1997.75
Andreas Seppi:1984.08
Jonas Svensson:1966.75
Robby Ginepri:1982.75
Chris Woodruff:1973.0
Byron Black:1969.75
Alberto Mancini:1969.33
Alexander Volkov:1967.17
Todd Woodbridge:1971.25
Ernests Gulbis:1988.58
Olivier Rochus:1981.0
Hubert Hurkacz:1997.08
Johan Anderson:1971.67
Jerome Golmard:1973.67
Jan Siemerink:1970.25
Peter Mcnamara:1955.5
Nicolas Mahut:1982.0
Alexandr Dolgopolov:1988.83
Hyung Taik Lee:1976.0
Jenson Brooksby:2000.75
Mikael Pernfors:1963.5
Amos Mansdorf:1965.75
Evgeny Korolev:1988.08
Jimmy Arias:1964.58
Henrik Sundstrom:1964.08
Hyeon Chung:1996.33
Johan Kriek:1958.25
Jeremy Chardy:1987.08
Mikael Tillstrom:1972.17
Hendrik Dreekmann:1975.0
Karel Novacek:1965.17
Andrea Gaudenzi:1973.5
Slava Dosedel:1970.58
Albert Montanes:1980.83
Bernard Tomic:1992.75
Marty Riessen:1941.92
Pablo Cuevas:1986.0
Wojtek Fibak:1952.58
Luciano Darderi:2002.08
Brian Teacher:1954.92
Konstantin Pugayev:1955.42
Jaime Yzaga:1967.75
Horst Skoff:1968.58
Jack Sock:1992.67
Andrei Cherkasov:1970.5
Pablo Carreno Busta:1991.5
Fernando Meligeni:1971.25
Tomas Smid:1956.33
Todd Reid:1984.42
Manuel Orantes:1949.08
Goran Prpic:1964.33
Cameron Norrie:1995.58
Ulf Stenlund:1967.0
Franco Squillari:1975.58
Carl Uwe Steeb:1967.67
Kenneth Carlsen:1973.25
Stefan Koubek:1977.0
Victor Estrella:1980.58
