race_id,day&place,Pla.,Horse No.,Horse,Jockey,Trainer,Act. Wt.,Declar. Horse Wt.,Dr.,Finish Time,Win Odds,Running Position
1,HV_2000-1-12_4,4.0,11.0,EN RAPPORT (BP122),R Fradd,L Fownes,-1.1900322571393687,1136,0.18181818181818182,1:39.60,-1.9710502793591818,
1,HV_2000-1-12_4,5.0,5.0,MAN OF HONOUR (BS267),K Fallon,I W Allan,-0.05830284284051124,1068,0.2727272727272727,1:39.70,-1.3136211814013157,
1,HV_2000-1-12_4,6.0,2.0,KENWOOD MELODY (BV014),B Marcus,D A Hayes,1.0102685007228878,1040,0.09090909090909091,1:39.80,-0.7045571180519117,
1,HV_2000-1-12_4,7.0,10.0,CUPID (BV043),F Sanchez,D Hill,-1.0242044694732326,1011,0.5454545454545454,1:39.90,-2.9743523882229663,
1,HV_2000-1-12_4,9.0,7.0,COLOURFUL ERA (BP234),B Doyle,T W Leung,-0.3748883950086062,985,1.0,1:40.10,-3.0696625680272915,
2,HV_2000-1-12_5,2.0,2.0,WINNING YEARS (BP249),W M Lai,T W Leung,0.40697485087706226,1038,0.36363636363636365,1:41.20,-1.8926829110347627,
2,HV_2000-1-12_5,4.0,1.0,HARMONY PRINCE (BS092),P Smullen,S T Wong,0.8612172439807863,1099,0.45454545454545453,1:41.70,-1.422679281789027,
2,HV_2000-1-12_5,6.0,10.0,SIR TIMAH (BT063),F Sanchez,D Hill,-1.0242044694732326,1123,0.6363636363636364,1:42.10,-1.0370168009770424,
2,HV_2000-1-12_5,12.0,6.0,JOYFUL STAR (BT108),B Marcus,D A Hayes,-0.3748883950086062,1078,1.0,0:00.00,-1.3713859874014764,
4,HV_2000-1-12_7,1.0,3.0,EXPEDIENT (BT046),R Fradd,B K Ng,1.3049356947903927,1023,1.0,1:40.70,-2.4554228911712914,
4,HV_2000-1-12_7,2.0,2.0,MANY HAPPY RETURNS (BP126),E Saint-Martin,L Ho,1.7386068217039437,986,0.3333333333333333,1:40.70,-1.555661461248347,
4,HV_2000-1-12_7,3.0,1.0,HAPPY CHAMP (BS226),D Whyte,T K Ng,2.162675580454373,1127,0.4166666666666667,1:40.80,-1.3366078951856626,
4,HV_2000-1-12_7,5.0,4.0,HORNET (BP238),J Quinn,P C Kan,1.3049356947903927,1075,0.75,1:41.00,-2.2322793398570817,
4,HV_2000-1-12_7,7.0,10.0,HAPPY FOREVER (BP144),K H Ting,P C Kan,-0.3748883950086062,1055,0.08333333333333333,1:41.10,-2.312322047530618,
4,HV_2000-1-12_7,8.0,12.0,SIR GALWAY (BP018),Y T Cheng,P C Kan,-3.3007518793495665,1099,0.8333333333333334,1:41.30,-2.145267962867452,
4,HV_2000-1-12_7,10.0,6.0,INDY'S GEM (BS077),F Sanchez,P Chapple-Hyam,0.5595891231312381,1016,0.6666666666666666,1:42.40,-2.145267962867452,
7,HV_2000-1-26_3,2.0,11.0,COMFORT (BT156),S King,P F Yiu,-1.1900322571393687,991,0.4,1:42.40,-1.5141522614080725,
7,HV_2000-1-26_3,3.0,13.0,GUSCOTT (BS207),R Fradd,B K Ng,-1.1900322571393687,1085,1.0,1:42.50,-1.055844671925528,
7,HV_2000-1-26_3,4.0,10.0,SUPERIOR TITLE (BT053),E Saint-Martin,L Ho,-0.5351653958426773,993,0.3,1:42.60,-2.8930665152303403,
7,HV_2000-1-26_3,5.0,3.0,EASY STAR (BS056),G Boss,A T Millard,0.5595891231312381,1123,0.9,1:42.80,-2.7327238651551613,
7,HV_2000-1-26_3,10.0,1.0,RETURN A SMILE (BT112),K Fallon,I W Allan,0.8612172439807863,1140,0.8,1:43.50,-1.1658455671398567,
8,HV_2000-1-26_4,1.0,7.0,CENTURY HORSE (BT267),B Doyle,T W Leung,0.5595891231312381,1038,0.6923076923076923,1:41.90,-1.4305038894812945,
8,HV_2000-1-26_4,2.0,11.0,TELECOM PRINCE (BP223),D Whyte,Y O Wong,-0.215941509097792,1075,1.0,1:42.00,-3.064039353494455,
8,HV_2000-1-26_4,3.0,13.0,GOLDEN BELL (BT256),K H Ting,P C Kan,-0.8598001138489109,979,0.07692307692307693,1:42.30,-2.658574245386291,
8,HV_2000-1-26_4,4.0,5.0,HARMONY PRINCE (BS092),P Smullen,S T Wong,0.8612172439807863,1101,0.46153846153846156,1:42.30,-2.1113809774494254,
8,HV_2000-1-26_4,5.0,6.0,STOIC (BT155),W Woods,L Fownes,0.7109969458350881,911,0.6153846153846154,1:42.40,-1.2722798842664005,
8,HV_2000-1-26_4,6.0,1.0,ARRECTIS AURIBUS (BP062),C T Cheng,D Cruz,0.2531347480467599,1074,0.5384615384615384,1:42.50,-2.3120516729115765,
8,HV_2000-1-26_4,7.0,12.0,EXPRESS LOT (BT188),B Marcus,D A Hayes,-0.5351653958426773,1056,0.15384615384615385,1:42.50,-2.504423565559033,
8,HV_2000-1-26_4,8.0,4.0,CITY FORTUNE (BS181),W M Lai,T K Ng,0.8612172439807863,1083,0.7692307692307693,1:42.70,-4.178399999130704,
8,HV_2000-1-26_4,10.0,8.0,LASER PRIDE (BS277),S King,P F Yiu,0.40697485087706226,1091,0.23076923076923078,1:43.10,-3.064039353494455,
9,HV_2000-1-26_5,1.0,2.0,NEVER SAY NEVER (BT028),R Fradd,J Moore,1.3049356947903927,1002,0.6153846153846154,1:41.00,-2.1053843924457394,
9,HV_2000-1-26_5,3.0,6.0,BORN DRAGON (BS215),W Woods,L Fownes,0.5595891231312381,1008,1.0,1:41.20,-3.229314489098139,
9,HV_2000-1-26_5,4.0,9.0,MUNDAHISH (BT250),D Boeuf,B K Ng,-0.215941509097792,1081,0.38461538461538464,1:41.50,-3.3834651689253974,
9,HV_2000-1-26_5,5.0,13.0,SOUND GALLOP (BP265),K S Yu,T P Wong,-0.5351653958426773,1087,0.46153846153846156,1:41.50,-3.8354502926684546,
