-18.05183047485118,-2.05318344433575,-6.188428628545617,;-18.88098698363417,-2.1873072506097575,-6.517543910625758,;-18.571964201980386,-2.114833289042529,-6.28489731946191,;
-17.27402266213679,-2.0508105162639167,-6.047442145303624,;-18.221258626033052,-2.2559187616705185,-6.567319664417256,;-17.64162338382111,-1.9895384244334924,-6.004659691031231,;
-17.310709056115403,-2.0266551708206837,-6.1501133484712405,;-17.851037048893502,-2.25633583579351,-6.549555693681258,;-17.97807345022555,-1.984112727040724,-6.034920523697503,;
-17.216701913859524,-2.0594380606475,-5.909691971498675,;-17.902774571921544,-2.2871481617216847,-6.440146037991232,;-17.659897578144744,-2.0019108596971664,-5.844479276094531,;
-16.891003447200468,-1.9981898031095326,-5.9239610889020415,;-17.587560545702505,-2.2247673352688135,-6.450709548773961,;-17.521821394155392,-2.0157031705886497,-5.901145756354285,;
-17.555732151270327,-2.04482204713221,-6.2854842280115575,;-18.148854903458115,-2.261543331109996,-6.682144075731341,;-18.18677855421436,-1.9918260160798165,-6.276601345589239,;
-17.736615759120877,-2.000337928135517,-6.191869302936425,;-18.535143496179977,-2.2434415047357037,-6.676331986701065,;-18.400896484399357,-1.9610981431693633,-6.204836405672862,;
-18.12177414683557,-2.0801704702602226,-6.252558772088856,;-18.586090825251503,-2.2762998947230453,-6.6220360878395175,;-18.851136637531578,-1.9924889411115714,-6.249403369106099,;
-17.47491651267655,-1.9750207697652349,-6.049926579433951,;-18.004772695456158,-2.162880557018841,-6.427339237480372,;-17.895754570782103,-1.9491919300463567,-5.973288686951736,;
-17.45577632079376,-1.9781154156511243,-6.058823216399565,;-17.99086444765318,-2.164429360020946,-6.477210760378771,;-18.255271859084683,-2.039263052865114,-6.1848458061113005,;
-17.55942661671776,-2.003836425525094,-6.095280940766477,;-18.036737762847526,-2.1537248436372156,-6.403015900308824,;-18.38697951679525,-2.006410290876426,-6.243994358061781,;
-17.347902386434473,-2.0244586058601457,-6.074898974584685,;-18.282212960549604,-2.2500143920415363,-6.559431832994667,;-17.720202740344572,-1.946560002603222,-5.959728994591481,;
-17.538320036936913,-1.975609568551217,-6.115913414411852,;-18.06190823565652,-2.147594977421066,-6.434288347345938,;-18.377658156477633,-1.9744035970562244,-6.189277263684499,;
-17.26426619842859,-2.1127433233351356,-6.154568101580029,;-17.9880518894358,-2.267883509780359,-6.5297485606658565,;-17.602488633985423,-2.101733411337034,-6.13820280245859,;
-17.721019836143924,-1.937385199944349,-6.10120797906254,;-18.163024985335436,-2.126505594459534,-6.443566192541521,;-18.640180103449254,-1.9220547394125205,-6.207735653522754,;
-17.346672052228513,-1.9821824630035563,-5.9288316075708964,;-17.867311774651125,-2.157905129486287,-6.370905319142485,;-18.65692814331296,-1.9392152767455773,-5.988901548083903,;
