race_id,horse_no,Horse,Pla.,won,lengths_behind,horse_age,horse_country,horse_type,horse_rating,horse_gear,declared_weight,Act. Wt.,Dr.,position_sec1,position_sec2,position_sec3,position_sec4,position_sec5,position_sec6,behind_sec1,behind_sec2,behind_sec3,behind_sec4,behind_sec5,behind_sec6,time1,time2,time3,time4,time5,time6,finish_time,Win Odds,place_odds,trainer_id,jockey_id
0,1,3917,10,0,8.0,3,AUS,Gelding,60,--,1020.0,1.5612834841983403,0.5,6,4,6,10.0,,,2.0,2.0,1.5,8.0,,,13.85,21.59,23.86,24.62,,,83.92,-2.1584211614383255,3.7,118,2
0,2,2157,8,0,5.75,3,NZ,Gelding,60,--,980.0,1.5612834841983403,0.8571428571428571,12,13,13,8.0,,,6.5,9.0,5.0,5.75,,,14.57,21.99,23.3,23.7,,,83.56,-2.65888399816877,4.9,164,57
0,3,858,7,0,4.75,3,NZ,Gelding,60,--,1082.0,1.4170291792287795,0.5714285714285714,3,2,2,7.0,,,1.0,1.0,0.75,4.75,,,13.69,21.59,23.9,24.22,,,83.4,-1.1390582444243567,1.5,137,18
0,5,2796,6,0,3.75,3,GB,Gelding,60,--,972.0,1.2716778728136224,1.0,13,12,12,6.0,,,7.75,8.75,4.25,3.75,,,14.77,21.75,23.22,23.5,,,83.24,-3.7983182813571346,14.0,9,154
0,7,911,12,0,9.5,3,NZ,Gelding,60,--,978.0,0.067272915886557,0.7857142857142857,1,1,1,12.0,,,0.75,1.0,0.75,9.5,,,13.53,21.59,23.94,25.09,,,84.15,-4.481415126063578,28.0,55,149
0,8,2170,1,1,0.0,3,AUS,Gelding,60,--,1170.0,0.828871860058587,0.14285714285714285,9,9,10,1.0,,,3.75,5.5,3.25,0.75,,,14.13,21.87,23.58,23.06,,,82.64,-2.371201925716989,3.6,47,183
0,9,1730,13,0,9.75,3,NZ,Gelding,60,--,1126.0,0.067272915886557,0.42857142857142855,2,3,3,13.0,,,0.75,1.5,1.25,9.75,,,13.65,21.71,23.9,24.94,,,84.2,-3.5238814356553747,13.0,75,131
0,11,1733,2,0,0.75,3,NZ,Gelding,60,--,1135.0,0.067272915886557,0.21428571428571427,7,7,4,2.0,,,2.75,3.75,1.25,0.75,,,13.97,21.75,23.54,23.51,,,82.77,-2.038057479188451,2.5,4,155
0,13,727,11,0,8.25,3,USA,Gelding,60,--,1089.0,-0.40469191973512464,0.07142857142857142,5,6,8,11.0,,,1.75,3.0,2.25,8.25,,,13.81,21.79,23.82,24.52,,,83.94,-1.5726942294992174,1.7,128,138
1,1,2397,12,0,10.0,3,NZ,Gelding,60,--,1078.0,0.828871860058587,0.6428571428571429,11,13,12,,,,6.0,7.75,10.0,,,,25.01,22.92,24.05,,,,71.98,-2.0211558944315065,4.2,47,149
1,2,4181,10,0,6.75,3,NZ,Gelding,60,--,1257.0,1.4170291792287795,0.5714285714285714,12,11,10,,,,6.25,7.5,6.75,,,,25.05,22.84,23.58,,,,71.47,-2.714303074991452,8.5,98,64
1,3,2814,8,0,3.75,3,AUS,Horse,60,--,1037.0,1.1252127524252435,0.35714285714285715,8,9,8,,,,4.5,6.25,3.75,,,,24.77,22.92,23.29,,,,70.98,-1.3280087138715613,1.7,75,183
1,8,2330,5,0,2.75,3,NZ,Gelding,60,--,1132.0,-0.8886064929652568,0.5,3,3,5,,,,1.75,3.25,2.75,,,,24.33,22.88,23.59,,,,70.8,-3.1432986805098104,11.0,138,59
1,10,2772,4,0,2.5,3,AUS,Gelding,60,--,1059.0,-0.2460718833999725,0.07142857142857142,6,6,4,,,,3.5,5.25,2.5,,,,24.61,22.92,23.23,,,,70.76,-1.6846836578102937,2.6,109,145
1,11,550,13,0,13.5,3,USA,Gelding,60,--,1106.0,-0.7259365350804429,1.0,7,8,13,,,,4.25,6.25,13.5,,,,24.73,22.96,24.85,,,,72.54,-3.294121570244394,15.0,128,151
1,12,4244,7,0,3.25,3,AUS,Gelding,60,--,1095.0,-3.3245388204052433,0.21428571428571427,1,1,7,,,,0.15,0.25,3.25,,,,24.05,22.64,24.18,,,,70.87,-2.426621002539671,7.4,38,40
1,13,3605,2,0,1.25,3,AUS,Gelding,60,--,1060.0,-1.55349456424905,0.42857142857142855,2,2,2,,,,0.15,0.25,1.25,,,,24.05,22.68,23.83,,,,70.56,-1.9470479222777848,4.7,132,162
1,14,2813,6,0,2.75,3,AUS,Brown,60,--,1110.0,-2.418511165125625,0.2857142857142857,10,7,6,,,,5.0,6.0,2.75,,,,24.85,22.8,23.16,,,,70.81,-3.2322461665263065,16.0,137,128
2,1,2306,2,0,0.1,3,NZ,Gelding,60,--,1115.0,1.5612834841983403,0.14285714285714285,9,7,7,2.0,,,3.25,3.25,2.75,0.1,,,14.29,22.22,24.8,22.38,,,83.69,-2.4250673255773316,2.3,9,69
2,2,2650,10,0,3.75,3,NZ,Gelding,60,--,1091.0,0.527863990576296,0.7142857142857143,10,12,10,10.0,,,3.25,7.25,4.75,3.75,,,14.29,22.86,24.48,22.67,,,84.3,-4.800983691656927,36.0,128,128
2,3,803,12,0,4.75,3,GB,Gelding,60,--,1000.0,0.828871860058587,1.0,13,13,14,12.0,,,5.0,7.5,7.75,4.75,,,14.57,22.62,24.92,22.34,,,84.45,-4.600312996194776,22.0,164,57
2,4,4048,6,0,1.75,3,USA,Brown,60,--,1106.0,0.678960466616642,0.42857142857142855,2,2,1,6.0,,,0.25,1.0,0.15,1.75,,,13.81,22.34,24.72,23.11,,,83.98,-1.4586268100177053,1.5,132,138
2,5,3877,7,0,2.25,3,NZ,Gelding,60,--,1031.0,0.527863990576296,0.5714285714285714,3,4,3,7.0,,,0.75,1.75,0.75,2.25,,,13.89,22.38,24.72,23.04,,,84.03,-1.6874683824465526,1.5,118,2
2,6,2800,8,0,3.5,3,NZ,Gelding,60,--,1068.0,0.37556354586168106,0.21428571428571427,14,9,11,8.0,,,5.25,4.5,5.5,3.5,,,14.61,22.1,25.04,22.5,,,84.25,-4.380251111417975,23.0,137,183
2,7,133,11,0,4.25,3,NZ,Gelding,60,--,1151.0,0.067272915886557,0.8571428571428571,12,14,13,11.0,,,3.75,8.5,7.0,4.25,,,14.37,22.98,24.64,22.37,,,84.36,-4.800983691656927,25.0,75,151
2,8,3305,4,0,1.25,3,NZ,Gelding,60,--,1052.0,0.37556354586168106,0.5,5,6,6,4.0,,,1.25,2.75,2.0,1.25,,,13.97,22.46,24.76,22.67,,,83.86,-2.1079713679192578,2.0,109,145
2,9,2172,9,0,3.5,3,AUS,Gelding,60,--,1122.0,0.37556354586168106,0.6428571428571429,7,8,9,9.0,,,2.5,4.0,3.5,3.5,,,14.17,22.46,24.8,22.82,,,84.25,-2.272726600995313,3.0,97,18
2,10,2069,5,0,1.75,3,AUS,Gelding,60,--,1016.0,0.22203979130106488,0.7857142857142857,11,10,8,5.0,,,3.5,5.5,3.25,1.75,,,14.33,22.54,24.52,22.58,,,83.97,-2.9784525637621186,5.2,98,64
2,11,2162,1,1,0.0,3,AUS,Gelding,60,--,1149.0,-0.08875737656789146,0.2857142857142857,6,5,4,1.0,,,1.5,2.5,1.5,0.1,,,14.01,22.38,24.72,22.58,,,83.69,-2.1517739905776505,2.3,7,115
2,12,1095,13,0,6.25,3,AUS,Gelding,60,--,1028.0,-1.0526727765753652,0.07142857142857142,4,3,5,13.0,,,1.0,1.25,2.0,6.25,,,13.93,22.26,25.0,23.47,,,84.66,-4.012526331292657,11.0,38,154
2,13,2012,3,0,0.25,3,NZ,Gelding,60,--,1029.0,-2.0677929823638768,0.9285714285714286,1,1,2,3.0,,,0.25,1.0,0.15,0.25,,,13.77,22.22,24.88,22.87,,,83.74,-3.296906294880653,5.9,80,59
2,14,1875,14,0,7.5,3,AUS,Gelding,60,--,1157.0,-2.0677929823638768,0.35714285714285715,8,11,12,14.0,,,3.25,6.0,6.5,7.5,,,14.29,22.66,24.96,22.98,,,84.89,-4.800983691656927,32.0,138,149
3,1,2973,5,0,2.25,3,AUS,Gelding,60,--,1093.0,1.5612834841983403,0.25,8,8,5,,,,3.75,4.0,2.25,,,,24.93,22.51,21.79,,,,69.23,-2.4192916270563534,4.7,7,115
3,4,3031,11,0,8.25,3,NZ,Gelding,60,--,1182.0,0.37556354586168106,0.5,5,5,11,,,,2.0,2.75,8.25,,,,24.65,22.59,22.98,,,,70.22,-3.4954310598724048,11.0,138,138
3,5,3872,1,1,0.0,3,NZ,Gelding,60,--,1231.0,-0.5646393358188507,0.3333333333333333,2,3,1,,,,1.0,1.5,1.75,,,,24.49,22.55,21.85,,,,68.89,-1.3599000515415252,1.4,118,2
3,6,1398,10,0,5.25,3,AUS,Gelding,60,--,1213.0,-0.5646393358188507,1.0,12,12,10,,,,6.75,6.25,5.25,,,,25.41,22.39,21.95,,,,69.75,-3.2947603644102537,11.0,137,64
3,8,4006,7,0,4.25,3,USA,Horse,60,--,1074.0,-1.2181595651604493,0.08333333333333333,4,4,7,,,,1.5,2.75,4.25,,,,24.57,22.67,22.33,,,,69.57,-0.7759521629465718,1.6,137,69
3,9,3844,9,0,4.75,3,NZ,Gelding,60,--,1195.0,-1.55349456424905,0.6666666666666666,10,11,9,,,,5.25,4.75,4.75,,,,25.17,22.39,22.11,,,,69.67,-2.4192916270563534,4.2,38,34
3,11,4056,8,0,4.75,3,NZ,Gelding,60,--,1211.0,-2.0677929823638768,0.5833333333333334,9,10,8,,,,5.25,4.5,4.75,,,,25.17,22.35,22.14,,,,69.66,-4.0153065191583135,18.0,75,131
3,12,2002,12,0,10.25,3,AUS,Gelding,60,--,1153.0,-1.8948180037977538,0.8333333333333334,7,7,12,,,,3.5,4.0,10.25,,,,24.89,22.55,23.08,,,,70.52,-3.9307491311302503,18.0,38,151
4,1,82,3,0,0.5,3,NZ,Gelding,60,--,1076.0,1.5612834841983403,0.2857142857142857,9,9,10,3.0,,,3.5,5.75,7.5,0.5,,,26.01,23.88,23.59,22.46,,,95.94,-1.4272240792606072,1.7,138,18
4,4,4061,11,0,6.75,3,NZ,Gelding,60,--,1161.0,0.527863990576296,0.9285714285714286,4,2,3,11.0,,,2.0,2.25,5.0,6.75,,,25.77,23.56,23.75,23.84,,,96.92,-3.1107699638484294,8.1,75,162
4,6,134,12,0,8.25,3,AUS,Gelding,60,--,1106.0,-0.40469191973512464,1.0,12,10,9,12.0,,,4.5,6.0,7.0,8.25,,,26.17,23.76,23.47,23.76,,,97.16,-3.539765569366788,18.0,55,138
4,7,3301,4,0,2.75,3,AUS,Gelding,60,--,1019.0,0.37556354586168106,0.8571428571428571,7,7,8,4.0,,,3.25,4.75,7.0,2.75,,,25.97,23.76,23.67,22.9,,,96.3,-2.263472103461226,4.0,164,57
4,8,243,7,0,4.5,3,NZ,Brown,60,--,1009.0,-0.40469191973512464,0.7857142857142857,11,12,12,7.0,,,4.25,6.5,8.75,4.5,,,26.13,23.88,23.67,22.9,,,96.58,-2.3435148111347623,4.9,54,34
4,9,1332,8,0,5.75,3,IRE,Gelding,60,--,1011.0,-0.40469191973512464,0.5714285714285714,14,14,13,8.0,,,5.75,7.75,10.0,5.75,,,26.37,23.84,23.67,22.88,,,96.76,-1.586854224852491,1.9,7,115
4,10,277,2,0,0.15,3,IRE,Gelding,60,--,999.0,-1.3850916715035806,0.5,1,1,1,2.0,,,1.25,2.25,4.5,0.15,,,25.45,23.52,23.31,23.59,,,95.87,-2.1764607264715963,2.8,132,131
4,11,3105,10,0,6.5,3,NZ,Gelding,60,--,1011.0,-0.8886064929652568,0.6428571428571429,2,4,7,10.0,,,1.25,3.75,6.75,6.5,,,25.65,23.92,23.79,23.52,,,96.88,-2.723004432839666,6.4,98,154
4,12,1895,9,0,6.0,3,NZ,Gelding,60,--,988.0,-2.7757852061859665,0.07142857142857142,8,6,5,9.0,,,3.25,4.5,5.75,6.0,,,25.97,23.72,23.51,23.6,,,96.8,-3.212552658158372,9.3,9,63
4,13,2171,13,0,9.75,3,NZ,Gelding,60,--,1157.0,-1.55349456424905,0.7142857142857143,5,5,4,13.0,,,2.25,4.0,5.75,9.75,,,25.81,23.8,23.59,24.2,,,97.4,-4.373685303807815,26.0,128,151
4,14,539,14,0,22.0,3,NZ,Gelding,60,--,1152.0,-3.3245388204052433,0.35714285714285715,13,13,14,14.0,,,4.75,7.5,11.0,22.0,,,26.21,23.96,23.87,25.32,,,99.36,-2.997441278541426,7.7,38,40
5,2,3712,10,0,10.5,3,AUS,Gelding,60,--,1096.0,1.5612834841983403,0.46153846153846156,7,8,10,,,,6.75,9.75,10.5,,,,24.55,22.96,23.37,,,,70.88,-0.6480166058326863,1.1,75,18
5,4,1899,4,0,5.5,3,NZ,Rig,60,--,1120.0,1.1252127524252435,0.6923076923076923,8,7,4,,,,7.75,9.5,5.5,,,,24.71,22.76,22.6,,,,70.07,-2.458125213728938,2.2,38,115
5,7,1865,12,0,15.25,3,NZ,Gelding,60,--,1015.0,-0.40469191973512464,0.15384615384615385,13,13,12,,,,9.75,14.0,15.25,,,,25.03,23.16,23.41,,,,71.6,-4.655349791065158,23.0,97,149
5,8,1369,3,0,4.5,3,NZ,Gelding,60,--,1114.0,0.22203979130106488,1.0,6,6,3,,,,6.25,8.25,4.5,,,,24.47,22.8,22.64,,,,69.91,-3.525965843730294,7.0,69,183
5,9,585,1,1,0.0,3,AUS,Horse,60,--,1170.0,0.22203979130106488,0.6153846153846154,1,1,1,,,,2.75,2.75,3.25,,,,23.47,22.48,23.25,,,,69.2,-1.8685187121098328,1.6,47,138
5,10,1688,9,0,9.5,3,NZ,Gelding,60,--,1015.0,0.067272915886557,0.9230769230769231,9,11,9,,,,8.0,11.5,9.5,,,,24.75,23.04,22.92,,,,70.71,-2.200296104426838,2.8,164,57
5,11,3499,11,0,11.0,3,AUS,Gelding,60,--,1087.0,-0.2460718833999725,0.38461538461538464,10,9,11,,,,8.25,10.0,11.0,,,,24.79,22.76,23.39,,,,70.94,-3.6711478535747917,5.9,98,151
5,12,475,14,0,29.75,3,NZ,Gelding,60,--,1098.0,-0.5646393358188507,0.8461538461538461,14,14,14,,,,10.5,18.75,29.75,,,,25.15,23.8,25.01,,,,73.96,-4.655349791065158,40.0,54,38
5,13,3119,7,0,6.5,3,IRE,Gelding,60,--,1064.0,-1.2181595651604493,0.3076923076923077,5,4,7,,,,6.25,6.75,6.5,,,,24.47,22.56,23.2,,,,70.23,-3.1512723942888834,5.3,63,34
5,14,2327,2,0,3.25,3,AUS,Gelding,60,--,1155.0,-2.0677929823638768,0.5384615384615384,3,3,2,,,,4.5,5.75,3.25,,,,24.19,22.68,22.83,,,,69.7,-4.655349791065158,40.0,138,128
6,1,2997,7,0,5.25,3,AUS,Horse,60,--,1113.0,1.5612834841983403,0.5833333333333334,11,10,9,7.0,,,4.25,8.0,8.75,5.25,,,14.43,22.21,22.93,22.78,,,82.35,-1.382850405219992,2.1,29,18
6,2,1202,8,0,5.75,3,NZ,Gelding,60,--,1059.0,0.678960466616642,0.16666666666666666,8,9,10,8.0,,,3.0,7.75,9.5,5.75,,,14.23,22.37,23.09,22.75,,,82.44,-2.3148894940622857,4.3,137,128
6,3,1904,6,0,5.0,3,NZ,Gelding,60,--,1181.0,1.2716778728136224,1.0,2,3,2,6.0,,,0.15,2.0,3.25,5.0,,,13.75,21.93,23.01,23.61,,,82.3,-1.2827669466630092,2.0,98,69
6,5,3346,1,1,0.0,3,AUS,Gelding,60,--,1052.0,0.37556354586168106,0.75,3,4,4,1.0,,,0.15,3.75,4.75,3.75,,,13.75,22.21,22.97,22.58,,,81.51,-2.3148894940622857,4.1,7,115
6,7,3788,2,0,3.75,3,AUS,Brown,60,--,1049.0,0.067272915886557,0.4166666666666667,9,7,7,2.0,,,3.25,6.5,7.0,3.75,,,14.27,22.13,22.89,22.8,,,82.09,-1.694062975081967,2.1,117,138
6,8,4041,5,0,4.75,3,IRE,Gelding,60,--,1039.0,0.067272915886557,0.8333333333333334,7,8,8,5.0,,,2.75,7.0,7.25,4.75,,,14.19,22.29,22.85,22.93,,,82.26,-3.493544490403932,8.8,38,154
