,Horse id,Race,Mean place,Mean covariates,u_{PL},u_{PlusDC},Rank_{PL},Rank_{PlusDC}
0,564,11,1.364,[0.636 0.506 0.405],4.344,3.300,4,1
1,1033,21,1.952,[0.528 0.678 0.451],4.809,3.037,1,2
2,2402,14,2.000,[0.446 0.549 0.309],4.590,2.950,2,3
3,1588,12,3.083,[0.189 0.471 0.342],4.500,2.731,3,4
4,160,11,3.182,[0.015 0.517 0.247],3.778,2.580,8,5
5,2558,28,2.536,[0.534 0.529 0.257],3.864,2.569,7,6
6,2830,22,3.182,[0.459 0.582 0.254],3.891,2.507,6,7
7,218,16,2.438,[0.542 0.53  0.273],4.109,2.472,5,8
8,1044,19,2.842,[0.532 0.5   0.309],3.510,2.336,11,9
9,3044,34,3.647,[0.527 0.498 0.162],2.984,2.328,26,10
