-16.890857615590736,-1.9981704918870593,-5.923976023259863,;-17.587559794406754,-2.2247559929581913,-6.450694803989212,;-17.521821394155392,-2.0157031705886497,-5.901145756354285,;
-17.45564924822262,-1.978135507492638,-6.058842222635108,;-17.990872974544562,-2.164419643251501,-6.477196309929081,;-18.255271859084683,-2.039263052865114,-6.1848458061113005,;
-17.736597987840522,-2.000369178760143,-6.191982297880286,;-18.53517761218244,-2.243436014867157,-6.676330623821917,;-18.400896484399357,-1.9610981431693633,-6.204836405672862,;
-18.12148736607877,-2.0801817907781364,-6.2525751034398755,;-18.586108135541714,-2.276291347392834,-6.622029566515226,;-18.851136637531578,-1.9924889411115714,-6.249403369106099,;
-17.559522536392084,-2.003861730559967,-6.0952929631450035,;-18.036757401562554,-2.153710737890017,-6.403004494696866,;-18.38697951679525,-2.006410290876426,-6.243994358061781,;
-17.31032019088106,-2.026604733677837,-6.150059265329969,;-17.85106034468107,-2.2563279847045608,-6.5495473443028205,;-17.97807345022555,-1.984112727040724,-6.034920523697503,;
-17.34623152877401,-1.982236847957289,-5.928855465640075,;-17.867291266998688,-2.1578900728587773,-6.370879249664259,;-18.65692814331296,-1.9392152767455773,-5.988901548083903,;
-17.273922049561925,-2.050824078761555,-6.04745780113307,;-18.221280588196866,-2.2559176250164334,-6.567312456584276,;-17.64162338382111,-1.9895384244334924,-6.004659691031231,;
-17.720714011792566,-1.9374031357209245,-6.101173579946293,;-18.163016335678517,-2.126492866281887,-6.443550222859526,;-18.640180103449254,-1.9220547394125205,-6.207735653522754,;
-18.051677359155537,-2.0531146700069143,-6.1883079942439405,;-18.88100222684554,-2.187299196540912,-6.517534353825738,;-18.571964201980386,-2.114833289042529,-6.28489731946191,;
-17.26444138752969,-2.1126961047863047,-6.154622462115263,;-17.988050845786738,-2.26787447062654,-6.529732719897861,;-17.602488633985423,-2.101733411337034,-6.13820280245859,;
-17.348098159606614,-2.0245125129374286,-6.075067102823158,;-18.282214502516425,-2.250004241179604,-6.559418691538773,;-17.720202740344572,-1.946560002603222,-5.959728994591481,;
